"Year","Month","Sector","Nationality","Level Of Study","Broad Field Of Education","Enrolments","Commencements","EnrolmentsShare","EnrolmentsGrowth","CommencementsShare","CommencementsGrowth"
"2020","Dec","_All","_All","_All","_All","882482","398958","100","0","100","0"
"2020","Dec","_All","Qatar","_All","_All","33","14","0","-48","0","-67"
"2020","Dec","_All","Indonesia","_All","_All","22119","9614","3","-2","2","-15"
"2020","Dec","_All","South Africa","_All","_All","997","465","0","0","0","-13"
"2020","Dec","_All","Korea, Republic of (South)","_All","_All","24361","12218","3","-15","3","-25"
"2020","Dec","_All","United Kingdom","_All","_All","7160","3380","1","-12","1","-25"
"2020","Dec","_All","Peru","_All","_All","1981","1147","0","-3","0","-12"
"2020","Dec","_All","French Polynesia","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Bosnia and Herzegovina","_All","_All","65","32","0","-13","0","-14"
"2020","Dec","_All","Botswana","_All","_All","138","46","0","4","0","-27"
"2020","Dec","_All","Turkey","_All","_All","2837","1624","0","-3","0","-14"
"2020","Dec","_All","Austria","_All","_All","254","150","0","-39","0","-50"
"2020","Dec","_All","Uruguay","_All","_All","197","118","0","19","0","9"
"2020","Dec","_All","Slovakia","_All","_All","729","371","0","-24","0","-33"
"2020","Dec","_All","Netherlands","_All","_All","893","488","0","-38","0","-54"
"2020","Dec","_All","Cambodia","_All","_All","3402","1667","0","4","0","-6"
"2020","Dec","_All","Slovenia","_All","_All","109","45","0","-23","0","-47"
"2020","Dec","_All","Saudi Arabia","_All","_All","6541","2397","1","-10","1","-43"
"2020","Dec","_All","Monaco","_All","_All","4","4","0","-50","0","0"
"2020","Dec","_All","Malaysia","_All","_All","25568","10587","3","-17","3","-28"
"2020","Dec","_All","North Macedonia","_All","_All","350","170","0","-12","0","-25"
"2020","Dec","_All","Liberia","_All","_All","10","4","0","0","0","-50"
"2020","Dec","_All","India","_All","_All","148684","64393","17","4","16","-17"
"2020","Dec","_All","Canada","_All","_All","4524","2022","1","-4","1","-13"
"2020","Dec","_All","Nigeria","_All","_All","2363","891","0","-12","0","-17"
"2020","Dec","_All","Maldives","_All","_All","144","57","0","0","0","0"
"2020","Dec","_All","Mexico","_All","_All","3219","1725","0","-15","0","-33"
"2020","Dec","_All","Zaire","_All","_All","4","4","0","0","0","-100"
"2020","Dec","_All","Switzerland","_All","_All","883","487","0","-42","0","-52"
"2020","Dec","_All","New Caledonia","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Latvia","_All","_All","86","41","0","-9","0","-23"
"2020","Dec","_All","Haiti","_All","_All","4","4","0","-33","0","-100"
"2020","Dec","_All","Benin","_All","_All","4","4","0","-50","0","-100"
"2020","Dec","_All","Afghanistan","_All","_All","34","18","0","10","0","-14"
"2020","Dec","_All","Suriname","_All","_All","9","4","0","80","0","100"
"2020","Dec","_All","Guatemala","_All","_All","81","44","0","13","0","-12"
"2020","Dec","_All","Nepal","_All","_All","71117","30424","8","3","8","-12"
"2020","Dec","_All","Comoros","_All","_All","4","4","0","0","0",""
"2020","Dec","_All","Thailand","_All","_All","22420","11437","3","-14","3","-24"
"2020","Dec","_All","Congo, Democratic Republic of","_All","_All","18","8","0","6","0","167"
"2020","Dec","_All","Azerbaijan","_All","_All","42","18","0","-13","0","-14"
"2020","Dec","_All","Croatia","_All","_All","109","58","0","-8","0","-17"
"2020","Dec","_All","United States of America","_All","_All","8933","5352","1","-28","1","-41"
"2020","Dec","_All","Bahamas","_All","_All","6","4","0","20","0","0"
"2020","Dec","_All","Tanzania","_All","_All","154","57","0","3","0","-20"
"2020","Dec","_All","Cyprus","_All","_All","63","28","0","-15","0","-28"
"2020","Dec","_All","Pakistan","_All","_All","19870","9550","2","4","2","-3"
"2020","Dec","_All","Bermuda","_All","_All","4","4","0","0","0",""
"2020","Dec","_All","Ecuador","_All","_All","635","348","0","-13","0","-16"
"2020","Dec","_All","Congo, Republic of","_All","_All","4","4","0","0","0","100"
"2020","Dec","_All","Hungary","_All","_All","300","143","0","-29","0","-36"
"2020","Dec","_All","Puerto Rico","_All","_All","4","4","0","0","0",""
"2020","Dec","_All","China","_All","_All","229448","92557","26","-12","23","-26"
"2020","Dec","_All","Sri Lanka","_All","_All","16204","6568","2","1","2","-18"
"2020","Dec","_All","East Timor","_All","_All","76","36","0","-23","0","-38"
"2020","Dec","_All","Nicaragua","_All","_All","15","10","0","7","0","0"
"2020","Dec","_All","Spain","_All","_All","6067","3464","1","-29","1","-41"
"2020","Dec","_All","Poland","_All","_All","1236","595","0","-26","0","-36"
"2020","Dec","_All","Tuvalu","_All","_All","13","4","0","0","0","-43"
"2020","Dec","_All","Greece","_All","_All","624","283","0","-26","0","-34"
"2020","Dec","_All","Guinea","_All","_All","6","4","0","-45","0","-83"
"2020","Dec","_All","Zimbabwe","_All","_All","1185","421","0","-9","0","-19"
"2020","Dec","_All","Kiribati","_All","_All","11","7","0","-15","0","0"
"2020","Dec","_All","Falkland Islands","_All","_All","4","4","0","","0",""
"2020","Dec","_All","El Salvador","_All","_All","82","44","0","-9","0","-23"
"2020","Dec","_All","Kyrgyzstan","_All","_All","22","9","0","-4","0","-31"
"2020","Dec","_All","Angola","_All","_All","4","4","0","-33","0","-100"
"2020","Dec","_All","Uganda","_All","_All","186","75","0","-2","0","-10"
"2020","Dec","_All","United Kingdom (Other)","_All","_All","4","4","0","50","0",""
"2020","Dec","_All","Gambia","_All","_All","5","4","0","25","0","-50"
"2020","Dec","_All","Chile","_All","_All","5557","3266","1","-12","1","-24"
"2020","Dec","_All","Finland","_All","_All","409","218","0","-15","0","-29"
"2020","Dec","_All","Egypt","_All","_All","477","187","0","2","0","-6"
"2020","Dec","_All","Fiji","_All","_All","1108","570","0","19","0","6"
"2020","Dec","_All","Tajikistan","_All","_All","4","4","0","-33","0","100"
"2020","Dec","_All","Laos","_All","_All","792","450","0","1","0","-10"
"2020","Dec","_All","Andorra","_All","_All","10","6","0","-47","0","-54"
"2020","Dec","_All","Solomon Islands","_All","_All","151","53","0","-19","0","-35"
"2020","Dec","_All","Samoa, American","_All","_All","4","4","0","0","0","0"
"2020","Dec","_All","Italy","_All","_All","7201","4023","1","-16","1","-24"
"2020","Dec","_All","Japan","_All","_All","12314","6809","1","-23","2","-35"
"2020","Dec","_All","Cote d'Ivoire","_All","_All","4","4","0","-43","0","-100"
"2020","Dec","_All","Costa Rica","_All","_All","47","21","0","-33","0","-30"
"2020","Dec","_All","Colombia","_All","_All","32877","20582","4","4","5","-5"
"2020","Dec","_All","Panama","_All","_All","39","22","0","8","0","5"
"2020","Dec","_All","Eritrea","_All","_All","5","4","0","0","0","-100"
"2020","Dec","_All","Honduras","_All","_All","34","26","0","70","0","117"
"2020","Dec","_All","Libya","_All","_All","7","4","0","-42","0","0"
"2020","Dec","_All","Sweden","_All","_All","1230","641","0","-33","0","-46"
"2020","Dec","_All","Belgium","_All","_All","547","287","0","-16","0","-27"
"2020","Dec","_All","Bhutan","_All","_All","4251","1893","0","8","0","-19"
"2020","Dec","_All","Albania","_All","_All","95","44","0","-3","0","-23"
"2020","Dec","_All","Kazakhstan","_All","_All","193","90","0","-10","0","-18"
"2020","Dec","_All","Seychelles","_All","_All","36","13","0","-16","0","-43"
"2020","Dec","_All","Venezuela","_All","_All","525","221","0","-42","0","-45"
"2020","Dec","_All","Grenada","_All","_All","4","4","0","0","0",""
"2020","Dec","_All","Luxembourg","_All","_All","23","8","0","-53","0","-79"
"2020","Dec","_All","Montenegro","_All","_All","21","9","0","-19","0","-31"
"2020","Dec","_All","St Vincent and the Grenadines","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Somalia","_All","_All","7","5","0","133","0","400"
"2020","Dec","_All","Senegal","_All","_All","4","4","0","-67","0","-75"
"2020","Dec","_All","South Sudan","_All","_All","4","4","0","0","0","-100"
"2020","Dec","_All","Dominica","_All","_All","4","4","0","-20","0","-67"
"2020","Dec","_All","France","_All","_All","4871","2468","1","-20","1","-34"
"2020","Dec","_All","Russian Federation","_All","_All","1010","441","0","-11","0","-9"
"2020","Dec","_All","Guyana","_All","_All","4","4","0","100","0",""
"2020","Dec","_All","Ghana","_All","_All","540","161","0","-14","0","-24"
"2020","Dec","_All","Papua New Guinea","_All","_All","1283","544","0","-6","0","-10"
"2020","Dec","_All","Ukraine","_All","_All","200","80","0","-22","0","-43"
"2020","Dec","_All","Macau","_All","_All","889","323","0","-10","0","-25"
"2020","Dec","_All","Turkmenistan","_All","_All","4","4","0","0","0","-50"
"2020","Dec","_All","Taiwan","_All","_All","15626","7953","2","-15","2","-27"
"2020","Dec","_All","Zambia","_All","_All","318","132","0","-6","0","-5"
"2020","Dec","_All","Guinea-Bissau","_All","_All","4","4","0","-50","0","-100"
"2020","Dec","_All","Brazil","_All","_All","33563","18279","4","-18","5","-29"
"2020","Dec","_All","Other","_All","_All","55","29","0","15","0","32"
"2020","Dec","_All","Mauritania","_All","_All","4","4","0","-25","0","-50"
"2020","Dec","_All","Trinidad and Tobago","_All","_All","23","9","0","-8","0","-36"
"2020","Dec","_All","Mozambique","_All","_All","50","18","0","14","0","29"
"2020","Dec","_All","Bahrain","_All","_All","42","16","0","-18","0","-11"
"2020","Dec","_All","Moldova","_All","_All","4","4","0","-20","0","-33"
"2020","Dec","_All","Romania","_All","_All","158","74","0","-16","0","-35"
"2020","Dec","_All","Paraguay","_All","_All","88","42","0","-25","0","-46"
"2020","Dec","_All","Brunei Darussalam","_All","_All","290","94","0","-6","0","-22"
"2020","Dec","_All","Equatorial Guinea","_All","_All","4","4","0","50","0",""
"2020","Dec","_All","Madagascar","_All","_All","20","7","0","-17","0","-46"
"2020","Dec","_All","Philippines","_All","_All","24864","11770","3","18","3","-15"
"2020","Dec","_All","Kosovo","_All","_All","6","4","0","-14","0","50"
"2020","Dec","_All","Iran","_All","_All","2372","692","0","-10","0","-16"
"2020","Dec","_All","Belarus","_All","_All","32","18","0","7","0","38"
"2020","Dec","_All","Estonia","_All","_All","442","211","0","-15","0","-22"
"2020","Dec","_All","Togo","_All","_All","4","4","0","0","0",""
"2020","Dec","_All","Germany","_All","_All","3706","2091","0","-30","1","-43"
"2020","Dec","_All","Vanuatu","_All","_All","26","11","0","-13","0","-8"
"2020","Dec","_All","Namibia","_All","_All","15","4","0","-12","0","-43"
"2020","Dec","_All","Oman","_All","_All","1205","524","0","2","0","7"
"2020","Dec","_All","Belize","_All","_All","8","4","0","14","0","50"
"2020","Dec","_All","St Kitts and Nevis","_All","_All","4","4","0","-20","0","100"
"2020","Dec","_All","Swaziland","_All","_All","11","4","0","-8","0","-50"
"2020","Dec","_All","Cuba","_All","_All","9","7","0","125","0","250"
"2020","Dec","_All","Yemen","_All","_All","48","10","0","-27","0","-57"
"2020","Dec","_All","Gaza Strip and West Bank","_All","_All","33","12","0","-3","0","0"
"2020","Dec","_All","Bolivia","_All","_All","97","57","0","1","0","-12"
"2020","Dec","_All","Norway","_All","_All","1361","712","0","-44","0","-57"
"2020","Dec","_All","Kuwait","_All","_All","412","111","0","-26","0","-29"
"2020","Dec","_All","Bangladesh","_All","_All","7878","2894","1","0","1","-9"
"2020","Dec","_All","Rwanda","_All","_All","32","12","0","-9","0","-20"
"2020","Dec","_All","Jordan","_All","_All","581","235","0","-10","0","-21"
"2020","Dec","_All","Marshall Islands","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Sierra Leone","_All","_All","25","10","0","19","0","11"
"2020","Dec","_All","Iraq","_All","_All","141","22","0","-47","0","-15"
"2020","Dec","_All","Israel","_All","_All","235","112","0","-18","0","-31"
"2020","Dec","_All","Lebanon","_All","_All","775","326","0","-9","0","-13"
"2020","Dec","_All","Serbia","_All","_All","164","77","0","-3","0","-8"
"2020","Dec","_All","Sudan","_All","_All","106","46","0","7","0","-10"
"2020","Dec","_All","Malawi","_All","_All","94","38","0","9","0","-3"
"2020","Dec","_All","Ireland","_All","_All","1405","765","0","6","0","-8"
"2020","Dec","_All","Burundi","_All","_All","12","7","0","20","0","40"
"2020","Dec","_All","Myanmar","_All","_All","3142","1535","0","16","0","-10"
"2020","Dec","_All","Malta","_All","_All","21","10","0","-13","0","-23"
"2020","Dec","_All","Morocco","_All","_All","85","51","0","16","0","4"
"2020","Dec","_All","Armenia","_All","_All","17","6","0","13","0","0"
"2020","Dec","_All","Gabon","_All","_All","4","4","0","-67","0",""
"2020","Dec","_All","Burkina Faso","_All","_All","5","5","0","400","0",""
"2020","Dec","_All","Vietnam","_All","_All","29589","13017","3","-7","3","-21"
"2020","Dec","_All","Denmark","_All","_All","458","320","0","-56","0","-64"
"2020","Dec","_All","Antigua and Barbuda","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Nauru","_All","_All","42","27","0","14","0","35"
"2020","Dec","_All","Argentina","_All","_All","1999","1261","0","16","0","6"
"2020","Dec","_All","Czech Republic","_All","_All","1191","660","0","-31","0","-37"
"2020","Dec","_All","Algeria","_All","_All","26","10","0","-10","0","-44"
"2020","Dec","_All","St Lucia","_All","_All","5","4","0","25","0","-67"
"2020","Dec","_All","Singapore","_All","_All","7420","2414","1","-11","1","-26"
"2020","Dec","_All","Barbados","_All","_All","10","4","0","-17","0","-67"
"2020","Dec","_All","Samoa ","_All","_All","14","11","0","27","0","120"
"2020","Dec","_All","Syria","_All","_All","22","4","0","-12","0","-67"
"2020","Dec","_All","Uzbekistan","_All","_All","196","68","0","-13","0","-30"
"2020","Dec","_All","United Arab Emirates","_All","_All","365","133","0","-16","0","-30"
"2020","Dec","_All","Cameroon","_All","_All","40","13","0","-29","0","-52"
"2020","Dec","_All","Ethiopia","_All","_All","219","36","0","0","0","-42"
"2020","Dec","_All","Dominican Republic","_All","_All","7","5","0","-13","0","150"
"2020","Dec","_All","Tunisia","_All","_All","20","6","0","11","0","0"
"2020","Dec","_All","Iceland","_All","_All","30","13","0","-47","0","-65"
"2020","Dec","_All","Jamaica","_All","_All","23","12","0","-21","0","20"
"2020","Dec","_All","Hong Kong","_All","_All","14861","6626","2","-4","2","-5"
"2020","Dec","_All","Mongolia","_All","_All","4726","2697","1","-18","1","-27"
"2020","Dec","_All","Bulgaria","_All","_All","168","79","0","-23","0","-28"
"2020","Dec","_All","Tonga","_All","_All","61","27","0","9","0","-18"
"2020","Dec","_All","Kenya","_All","_All","4171","1627","0","-9","0","-21"
"2020","Dec","_All","Georgia","_All","_All","8","4","0","-11","0","50"
"2020","Dec","_All","Mauritius","_All","_All","2260","943","0","-10","0","-24"
"2020","Dec","_All","Niger","_All","_All","4","4","0","100","0",""
"2020","Dec","_All","Chad","_All","_All","4","4","0","","0",""
"2020","Dec","_All","Korea, Democratic People's Republic of (North)","_All","_All","5","4","0","67","0","300"
"2020","Dec","_All","Lithuania","_All","_All","646","275","0","-23","0","-41"
"2020","Dec","_All","Portugal","_All","_All","863","403","0","-19","0","-31"
"2020","Dec","_All","Lesotho","_All","_All","8","4","0","33","0","-25"
"2020","Dec","VET","Armenia","_All","_All","5","4","29","400","67",""
"2020","Dec","VET","Israel","_All","_All","137","68","58","-11","61","-22"
"2020","Dec","VET","Guinea","_All","_All","4","4","33","0","100","0"
"2020","Dec","Schools","Tonga","_All","_All","7","4","11","-13","15","-33"
"2020","Dec","Schools","Egypt","_All","_All","13","7","3","8","4","75"
"2020","Dec","Higher Education","Argentina","_All","_All","224","96","11","6","8","39"
"2020","Dec","ELICOS","Albania","_All","_All","14","8","15","-30","18","-47"
"2020","Dec","ELICOS","Kenya","_All","_All","128","107","3","-26","7","-29"
"2020","Dec","Higher Education","Uruguay","_All","_All","34","7","17","-6","6","-42"
"2020","Dec","Schools","Portugal","_All","_All","16","8","2","-16","2","-11"
"2020","Dec","VET","Italy","_All","_All","4813","2630","67","-3","65","-6"
"2020","Dec","Higher Education","Korea, Republic of (South)","_All","_All","5392","1936","22","-1","16","-13"
"2020","Dec","ELICOS","Macau","_All","_All","48","24","5","-40","7","-60"
"2020","Dec","ELICOS","Other","_All","_All","7","6","13","75","21","100"
"2020","Dec","VET","Tajikistan","_All","_All","4","4","50","0","50","0"
"2020","Dec","Schools","Italy","_All","_All","83","58","1","-84","1","-88"
"2020","Dec","ELICOS","Ethiopia","_All","_All","4","4","0","0","3","0"
"2020","Dec","ELICOS","Taiwan","_All","_All","3375","2168","22","-33","27","-42"
"2020","Dec","Non-award","France","_All","_All","554","309","11","-50","13","-65"
"2020","Dec","Schools","Switzerland","_All","_All","57","41","6","-54","8","-31"
"2020","Dec","Schools","Albania","_All","_All","4","4","2","-50","0","-100"
"2020","Dec","ELICOS","Rwanda","_All","_All","4","4","6","100","17","100"
"2020","Dec","Higher Education","Malaysia","_All","_All","11212","3149","44","-14","30","-28"
"2020","Dec","Non-award","Switzerland","_All","_All","115","88","13","-56","18","-62"
"2020","Dec","Higher Education","Slovakia","_All","_All","62","17","9","-23","5","-11"
"2020","Dec","Non-award","Luxembourg","_All","_All","4","4","17","-81","25","-89"
"2020","Dec","ELICOS","Ghana","_All","_All","13","8","2","-7","5","-33"
"2020","Dec","ELICOS","Ukraine","_All","_All","38","26","19","-21","33","-37"
"2020","Dec","Non-award","Paraguay","_All","_All","4","4","1","0","0","-100"
"2020","Dec","Higher Education","French Polynesia","_All","_All","4","4","50","","50",""
"2020","Dec","Higher Education","Peru","_All","_All","412","171","21","4","15","21"
"2020","Dec","Schools","Mauritius","_All","_All","4","4","0","-40","0","-75"
"2020","Dec","Higher Education","South Africa","_All","_All","544","200","55","5","43","-4"
"2020","Dec","ELICOS","Jamaica","_All","_All","4","4","9","100","8","0"
"2020","Dec","ELICOS","Papua New Guinea","_All","_All","18","13","1","-44","2","-52"
"2020","Dec","VET","Mauritius","_All","_All","1164","608","52","-10","64","-20"
"2020","Dec","Non-award","Honduras","_All","_All","4","4","3","0","4","0"
"2020","Dec","ELICOS","Brazil","_All","_All","10185","6351","30","-38","35","-49"
"2020","Dec","VET","Jamaica","_All","_All","4","4","13","200","25",""
"2020","Dec","Higher Education","Malawi","_All","_All","68","23","72","11","61","5"
"2020","Dec","Non-award","Hong Kong","_All","_All","980","693","7","-11","10","-8"
"2020","Dec","Non-award","Bhutan","_All","_All","52","33","1","-44","2","-55"
"2020","Dec","Non-award","Mongolia","_All","_All","30","12","1","-29","0","-66"
"2020","Dec","VET","Solomon Islands","_All","_All","21","8","14","-43","15","-65"
"2020","Dec","VET","China","_All","_All","21724","11037","9","-8","12","-23"
"2020","Dec","VET","Kyrgyzstan","_All","_All","4","4","18","-50","22","-50"
"2020","Dec","VET","Seychelles","_All","_All","15","6","42","-17","46","-45"
"2020","Dec","Non-award","Japan","_All","_All","755","610","6","-33","9","-38"
"2020","Dec","ELICOS","Romania","_All","_All","27","12","17","-29","16","-54"
"2020","Dec","VET","Belgium","_All","_All","256","147","47","4","51","1"
"2020","Dec","Higher Education","United Kingdom","_All","_All","1372","485","19","1","14","3"
"2020","Dec","Schools","Sweden","_All","_All","16","5","1","-20","1","-58"
"2020","Dec","Schools","Kazakhstan","_All","_All","4","4","2","-20","1","-50"
"2020","Dec","VET","Samoa, American","_All","_All","4","4","100","0","100","0"
"2020","Dec","ELICOS","Niger","_All","_All","4","4","100","","100",""
"2020","Dec","Higher Education","Botswana","_All","_All","106","31","77","15","67","-14"
"2020","Dec","ELICOS","Uzbekistan","_All","_All","11","10","6","-45","15","-38"
"2020","Dec","VET","Chad","_All","_All","4","4","100","","100",""
"2020","Dec","Schools","Solomon Islands","_All","_All","30","11","20","0","21","0"
"2020","Dec","VET","Sweden","_All","_All","387","201","31","-26","31","-35"
"2020","Dec","VET","Kazakhstan","_All","_All","37","21","19","37","23","11"
"2020","Dec","Higher Education","Liberia","_All","_All","6","4","60","20","100","0"
"2020","Dec","Schools","Vietnam","_All","_All","3987","1622","13","-6","12","-24"
"2020","Dec","Schools","Jamaica","_All","_All","4","4","4","-50","8",""
"2020","Dec","Higher Education","Qatar","_All","_All","16","5","48","-11","36","-17"
"2020","Dec","Higher Education","Ecuador","_All","_All","162","49","26","-29","14","-8"
"2020","Dec","Non-award","Syria","_All","_All","4","4","5","0","0","-100"
"2020","Dec","Non-award","Bahrain","_All","_All","4","4","5","0","13","0"
"2020","Dec","VET","United States of America","_All","_All","1922","996","22","-22","19","-35"
"2020","Dec","VET","Tuvalu","_All","_All","4","4","8","","25",""
"2020","Dec","VET","Portugal","_All","_All","338","175","39","-13","43","-20"
"2020","Dec","ELICOS","Sweden","_All","_All","62","42","5","-37","7","-40"
"2020","Dec","Non-award","East Timor","_All","_All","4","4","1","-75","0","-100"
"2020","Dec","Higher Education","Austria","_All","_All","80","21","31","-25","14","-56"
"2020","Dec","Non-award","Bulgaria","_All","_All","9","4","5","-55","5","-73"
"2020","Dec","Schools","Uzbekistan","_All","_All","4","4","1","0","1","0"
"2020","Dec","Non-award","Cameroon","_All","_All","4","4","3","-67","0","-100"
"2020","Dec","Schools","Nigeria","_All","_All","6","4","0","-25","0","-33"
"2020","Dec","Non-award","Nauru","_All","_All","4","4","2","-75","0","-100"
"2020","Dec","ELICOS","Tonga","_All","_All","4","4","3","-60","4","-75"
"2020","Dec","VET","Nicaragua","_All","_All","6","4","40","100","40","300"
"2020","Dec","ELICOS","Kazakhstan","_All","_All","19","13","10","-42","14","-46"
"2020","Dec","VET","Finland","_All","_All","204","94","50","-12","43","-30"
"2020","Dec","Higher Education","Netherlands","_All","_All","255","68","29","-10","14","-33"
"2020","Dec","Higher Education","Saudi Arabia","_All","_All","4339","1132","66","-2","47","-43"
"2020","Dec","Schools","Belgium","_All","_All","6","4","1","-70","1","-81"
"2020","Dec","Higher Education","Slovenia","_All","_All","21","4","19","5","9","-50"
"2020","Dec","VET","Egypt","_All","_All","81","46","17","13","25","18"
"2020","Dec","VET","Slovenia","_All","_All","74","31","68","-22","69","-47"
"2020","Dec","ELICOS","Andorra","_All","_All","7","4","70","-22","67","-43"
"2020","Dec","VET","Libya","_All","_All","4","4","43","0","50","-50"
"2020","Dec","VET","Uganda","_All","_All","26","14","14","-21","19","-26"
"2020","Dec","Higher Education","Gabon","_All","_All","4","4","100","-50","",""
"2020","Dec","Higher Education","Denmark","_All","_All","123","47","27","-13","15","-2"
"2020","Dec","Schools","United States of America","_All","_All","119","71","1","11","1","16"
"2020","Dec","Non-award","Czech Republic","_All","_All","32","27","3","-54","4","-58"
"2020","Dec","Non-award","Botswana","_All","_All","4","4","1","-67","2","-80"
"2020","Dec","Higher Education","Ireland","_All","_All","120","43","9","-2","6","8"
"2020","Dec","ELICOS","Portugal","_All","_All","127","78","15","-47","19","-55"
"2020","Dec","Schools","Kenya","_All","_All","8","6","0","33","0","50"
"2020","Dec","VET","Venezuela","_All","_All","358","150","68","-44","68","-44"
"2020","Dec","VET","Somalia","_All","_All","4","4","43","200","40","100"
"2020","Dec","Schools","Sri Lanka","_All","_All","39","10","0","-9","0","-33"
"2020","Dec","ELICOS","Gaza Strip and West Bank","_All","_All","6","4","18","200","33","100"
"2020","Dec","Schools","Canada","_All","_All","30","20","1","25","1","33"
"2020","Dec","Higher Education","Burundi","_All","_All","9","4","75","29","57","100"
"2020","Dec","Higher Education","Bosnia and Herzegovina","_All","_All","21","4","32","-22","9","-67"
"2020","Dec","Schools","Maldives","_All","_All","4","4","1","-33","4","0"
"2020","Dec","Non-award","Sudan","_All","_All","4","4","2","-33","2","-50"
"2020","Dec","Non-award","Lebanon","_All","_All","10","4","1","-41","1","-67"
"2020","Dec","Higher Education","Malta","_All","_All","4","4","19","0","10",""
"2020","Dec","Schools","China","_All","_All","9131","3033","4","-24","3","-33"
"2020","Dec","VET","Philippines","_All","_All","19589","9536","79","26","81","-13"
"2020","Dec","Higher Education","Myanmar","_All","_All","1188","364","38","0","24","-24"
"2020","Dec","Non-award","St Lucia","_All","_All","4","4","20","","100",""
"2020","Dec","Higher Education","Czech Republic","_All","_All","90","29","8","-8","4","-22"
"2020","Dec","ELICOS","Mauritius","_All","_All","81","60","4","-32","6","-35"
"2020","Dec","VET","Poland","_All","_All","790","362","64","-18","61","-21"
"2020","Dec","ELICOS","Mozambique","_All","_All","4","4","2","","6",""
"2020","Dec","Higher Education","Costa Rica","_All","_All","26","8","55","-4","38","60"
"2020","Dec","VET","Ghana","_All","_All","92","49","17","-19","30","-8"
"2020","Dec","ELICOS","Dominica","_All","_All","4","4","25","","100",""
"2020","Dec","VET","Gaza Strip and West Bank","_All","_All","4","4","9","50","17","100"
"2020","Dec","Higher Education","Nauru","_All","_All","8","4","19","14","15","100"
"2020","Dec","Non-award","Singapore","_All","_All","393","298","5","-38","12","-46"
"2020","Dec","VET","Zimbabwe","_All","_All","272","128","23","-21","30","-26"
"2020","Dec","ELICOS","Tanzania","_All","_All","4","4","2","","5",""
"2020","Dec","VET","Laos","_All","_All","228","142","29","21","32","2"
"2020","Dec","VET","El Salvador","_All","_All","35","20","43","6","45","0"
"2020","Dec","VET","Falkland Islands","_All","_All","4","4","100","","100",""
"2020","Dec","VET","Panama","_All","_All","6","5","15","100","23","400"
"2020","Dec","Higher Education","Grenada","_All","_All","4","4","100","0","100",""
"2020","Dec","Schools","India","_All","_All","246","102","0","-17","0","-22"
"2020","Dec","ELICOS","Bahrain","_All","_All","6","4","14","20","19","-40"
"2020","Dec","Non-award","Denmark","_All","_All","230","218","50","-70","68","-71"
"2020","Dec","Schools","Nepal","_All","_All","20","9","0","-47","0","0"
"2020","Dec","Schools","Cambodia","_All","_All","515","169","15","-2","10","-10"
"2020","Dec","Schools","Thailand","_All","_All","299","106","1","-21","1","-32"
"2020","Dec","Higher Education","Barbados","_All","_All","6","4","60","-40","0","-100"
"2020","Dec","Non-award","Iceland","_All","_All","9","6","30","-64","46","-73"
"2020","Dec","ELICOS","Peru","_All","_All","729","500","37","-22","44","-32"
"2020","Dec","VET","Albania","_All","_All","35","18","37","3","41","-10"
"2020","Dec","ELICOS","Kyrgyzstan","_All","_All","5","5","23","150","56","150"
"2020","Dec","Non-award","Vietnam","_All","_All","929","480","3","-16","4","-37"
"2020","Dec","Schools","Hungary","_All","_All","4","4","1","-33","2","-50"
"2020","Dec","Higher Education","Sudan","_All","_All","44","10","42","0","22","-47"
"2020","Dec","Non-award","Norway","_All","_All","618","467","45","-57","66","-63"
"2020","Dec","ELICOS","Nicaragua","_All","_All","6","4","40","0","40","-20"
"2020","Dec","VET","Colombia","_All","_All","15694","9598","48","28","47","29"
"2020","Dec","VET","Other","_All","_All","25","12","45","19","41","0"
"2020","Dec","Higher Education","Armenia","_All","_All","11","4","65","-8","17","-80"
"2020","Dec","Non-award","Uzbekistan","_All","_All","5","4","3","-29","4","-40"
"2020","Dec","Higher Education","Serbia","_All","_All","59","12","36","-2","16","-40"
"2020","Dec","Higher Education","Singapore","_All","_All","6552","1900","88","-8","79","-20"
"2020","Dec","VET","Kiribati","_All","_All","4","4","27","50","14","0"
"2020","Dec","ELICOS","Netherlands","_All","_All","44","22","5","-24","5","-49"
"2020","Dec","VET","Iraq","_All","_All","9","4","6","-18","18","0"
"2020","Dec","Higher Education","Israel","_All","_All","61","15","26","-8","13","-29"
"2020","Dec","Higher Education","North Macedonia","_All","_All","97","36","28","-2","21","-5"
"2020","Dec","Schools","Tanzania","_All","_All","4","4","3","33","2","-50"
"2020","Dec","Schools","Congo, Democratic Republic of","_All","_All","4","4","6","0","0",""
"2020","Dec","Non-award","Cambodia","_All","_All","370","249","11","11","15","9"
"2020","Dec","ELICOS","Finland","_All","_All","17","12","4","0","6","9"
"2020","Dec","Non-award","Burundi","_All","_All","4","4","8","-67","14","-67"
"2020","Dec","ELICOS","Zambia","_All","_All","9","8","3","29","6","14"
"2020","Dec","ELICOS","Dominican Republic","_All","_All","4","4","29","100","40","100"
"2020","Dec","ELICOS","Zimbabwe","_All","_All","16","12","1","-53","3","-57"
